,Price,Address,Locality,Full Baths,Half Baths,Beds,SqFt,Lot Size
0,"$725,000",0 Gateway,"Rock Springs, WY 82901",0 Full Baths,0 Half Baths,0 Beds,No Square Footage Data,
1,"$452,900",1003 Winchester Blvd.,"Rock Springs, WY 82901",4 Full Baths,0 Half Baths,4 Beds,No Square Footage Data,Lot Size: 0.21 Acres
2,"$396,900",600 Talladega,"Rock Springs, WY 82901",3 Full Baths,0 Half Baths,5 Beds,"3,154 Sq. Ft",
3,"$389,900",3239 Spearhead Way,"Rock Springs, WY 82901",3 Full Baths,1 Half Bath,4 Beds,"3,076 Sq. Ft","Lot Size: Under 1/2 Acre,"
4,"$254,000",522 Emerald Street,"Rock Springs, WY 82901",3 Full Baths,0 Half Baths,3 Beds,"1,172 Sq. Ft","Lot Size: Under 1/2 Acre,"
5,"$252,900",1302 Veteran's Drive,"Rock Springs, WY 82901",2 Full Baths,0 Half Baths,4 Beds,"1,932 Sq. Ft",Lot Size: 0.27 Acres
6,"$210,000",1021 Cypress Cir,"Rock Springs, WY 82901",3 Full Baths,0 Half Baths,4 Beds,"1,676 Sq. Ft","Lot Size: Under 1/2 Acre,"
7,"$209,000",913 Madison Dr,"Rock Springs, WY 82901",2 Full Baths,0 Half Baths,3 Beds,"1,344 Sq. Ft","Lot Size: Under 1/2 Acre,"
8,"$199,900",1344 Teton Street,"Rock Springs, WY 82901",2 Full Baths,0 Half Baths,3 Beds,"1,920 Sq. Ft","Lot Size: Under 1/2 Acre,"
9,"$196,900",4 Minnies Lane,"Rock Springs, WY 82901",2 Full Baths,0 Half Baths,3 Beds,"1,664 Sq. Ft",Lot Size: 2.02 Acres
10,"$1,700,000",9339 Sd 26900,"Rocksprings, TX 78880",0 Full Baths,0 Half Baths,0 Beds,"2,560 Sq. Ft",
11,"$1,100,000",RR674P13 Hwy 377,"Rocksprings, TX 78880",0 Full Baths,0 Half Baths,0 Beds,"2,000 Sq. Ft",
12,"$1,080,000",0 Hwy 41,"Rocksprings, TX 78880",0 Full Baths,0 Half Baths,0 Beds,No Square Footage Data,
13,"$908,350",9339 Sd 26900,"Rocksprings, TX 78880",0 Full Baths,0 Half Baths,0 Beds,"2,560 Sq. Ft",
14,"$905,000",CR450 Hwy 377,"Rocksprings, TX 78880",0 Full Baths,0 Half Baths,0 Beds,No Square Footage Data,
15,"$695,000",Cr 240 Cr 240,"Rocksprings, TX 78880",0 Full Baths,0 Half Baths,0 Beds,"1,398 Sq. Ft",
16,"$605,000",RR674 Hwy 377,"Rocksprings, TX 78880",0 Full Baths,0 Half Baths,0 Beds,"1,738 Sq. Ft",
17,"$559,805",9770a Sd 26900,"Rocksprings, TX 78880",0 Full Baths,0 Half Baths,0 Beds,"1,080 Sq. Ft",
18,"$504,000",Lot17 CR 2630,"Rocksprings, TX 78880",0 Full Baths,0 Half Baths,0 Beds,No Square Footage Data,
19,"$410,000","Tr12,16 CR 520","Rocksprings, TX 78880",0 Full Baths,0 Half Baths,0 Beds,No Square Footage Data,
20,"$299,900",32575 S Shadow Mountain Road,"Black Canyon City, AZ 85324",2 Full Baths,0 Half Baths,3 Beds,"2,318 Sq. Ft",
21,"$167,500",32750 S Shangrila Drive,"Black Canyon City, AZ 85324",2 Full Baths,0 Half Baths,3 Beds,"2,120 Sq. Ft",
22,"$150,000",0000 Black Canyon Highway,"Black Canyon City, AZ 85324",0 Full Baths,0 Half Baths,0 Beds,No Square Footage Data,Lot Size: 5 Acres
23,"$129,500",34775 S CHOLLA Drive,"Black Canyon City, AZ 85324",2 Full Baths,0 Half Baths,3 Beds,"1,220 Sq. Ft",
24,"$129,000",33403 S. HA-WA-SI TERRACE,"BLACK CANYON CITY, AZ 85324",2 Full Baths,0 Half Baths,4 Beds,"2,000 Sq. Ft",
25,"$80,000",34263 S Bertha Street,"Black Canyon City, AZ 85324",2 Full Baths,0 Half Baths,5 Beds,"2,260 Sq. Ft",
26,"$77,900",33160 S Canyon Road,"Black Canyon City, AZ 85324",2 Full Baths,0 Half Baths,3 Beds,"1,248 Sq. Ft",
27,"$70,500",19421 E Todd Evans Road,"Black Canyon City, AZ 85324",2 Full Baths,0 Half Baths,3 Beds,"1,404 Sq. Ft",
28,"$70,000",18688 E AGUA Vista,"Black Canyon City, AZ 85324",0 Full Baths,0 Half Baths,0 Beds,No Square Footage Data,Lot Size: 0.7 Acres
29,"$67,500",50600 N Old Black Canyon Road,"Black Canyon City, AZ 85324",0 Full Baths,0 Half Baths,0 Beds,No Square Footage Data,Lot Size: 3 Acres
30,"$54,900",20101 E SQUAW VALLEY Road,"Black Canyon City, AZ 85324",0 Full Baths,0 Half Baths,0 Beds,No Square Footage Data,
31,"$45,600",33259 S Canyon Road,"Black Canyon City, AZ 85324",1 Full Bath,0 Half Baths,3 Beds,"1,056 Sq. Ft",
32,"$40,000",34558 S ROADRUNNER RD,"Black Canyon City, AZ 85324",1 Full Bath,0 Half Baths,2 Beds,784 Sq. Ft,Lot Size: Under 1/2 Acre
33,"$30,000",19260 E Scenic Loop Road,"Black Canyon City, AZ 85324",0 Full Baths,0 Half Baths,0 Beds,No Square Footage Data,Lot Size: 2.35 Acres
34,"$29,000",19000 E MAREN Avenue,"Black Canyon City, AZ 85324",0 Full Baths,0 Half Baths,0 Beds,No Square Footage Data,Lot Size: 2.05 Acres
35,"$28,995",19350 E SAGUARO Drive,"Black Canyon City, AZ 85324",0 Full Baths,0 Half Baths,0 Beds,No Square Footage Data,Lot Size: 0.73 Acres
36,"$15,000",20650 E Amethyst Place,"Black Canyon City, AZ 85324",0 Full Baths,0 Half Baths,0 Beds,No Square Footage Data,Lot Size: 0.31 Acres
